NIST STS cat test results
candidate_index=11 pass_rows=159 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_11/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=23 pass_rows=159 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_23/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=32 pass_rows=159 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_32/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=47 pass_rows=159 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_47/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=54 pass_rows=159 fail_rows=3 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_54/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=15 pass_rows=184 fail_rows=4 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_15/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=17 pass_rows=184 fail_rows=4 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_17/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=35 pass_rows=184 fail_rows=4 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_35/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=60 pass_rows=184 fail_rows=4 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_60/AlgorithmTesting/finalAnalysisReport.txt
candidate_index=27 pass_rows=182 fail_rows=6 final_report=/Users/magneto/Desktop/Codex Playground/Twist/generated/nist_cat_runs/candidate_index_27/AlgorithmTesting/finalAnalysisReport.txt
